Hex Code,Palette ID
#8c9485,1
#5b2c35,1
#601616,1
#4ff0fc,1
#89a6c4,1
#5e69e6,2
#99ffcc,2
#475b7a,2
#79715a,2
#ae1919,2
#ad2f42,3
#bb6846,3
#c49e55,3
#610023,3
#7ab3e5,3
#7b7976,4
#866154,4
#2c2414,4
#fb6926,4
#d7c7e1,4
#f7efc8,5
#410000,5
#c0a38a,5
#a89885,5
#40b3af,5
#168aad,6
#1e1e24,6
#70727c,6
#b28874,6
#ff671e,6
#bce4e4,7
#a42b72,7
#3c140c,7
#f85a2c,7
#f5fffa,7
#c97b63,8
#b47c64,8
#d1c0c8,8
#ffa4a4,8
#af4035,8
#37ab50,9
#f1c7a5,9
#ffe8a4,9
#e2c141,9
#2c1a1a,9
#ccc6ce,10
#f2c791,10
#5bb6b6,10
#a59c64,10
#ffd404,10
#ff2555,11
#2e5980,11
#1f3c5a,11
#d7d2ac,11
#b45f06,11
#c36dad,12
#440439,12
#fbdb93,12
#9b0216,12
#e3f6ff,12
#ac0a33,13
#d2e4f5,13
#283537,13
#960018,13
#296328,13
#bed8af,14
#a02135,14
#c1d0b5,14
#fefbe9,14
#644453,14
#e4a984,15
#f5f2ca,15
#3333ff,15
#ec5d45,15
#357c53,15
#ff66ff,16
#83807a,16
#9f9828,16
#fd1717,16
#74acb4,16
#c27e6f,17
#ba0012,17
#a8dadc,17
#f5f4f0,17
#e6c4a8,17
#b48ae9,18
#381819,18
#7e8390,18
#98f8b8,18
#ebd7db,18
#a2a8a6,19
#005f5b,19
#3f3f3f,19
#9d5b20,19
#ff9199,19
#e09fa3,20
#dda070,20
#96a6f3,20
#9cba98,20
#bf9e60,20
#53d183,21
#b4b4c4,21
#ffa500,21
#776959,21
#c29f52,21
#e5664e,22
#8ec2f7,22
#afdbf5,22
#ec9cbc,22
#3569ae,22
#f7dec4,23
#64544c,23
#46627d,23
#6e7d8c,23
#ffdb58,23
#e897b5,24
#1e6091,24
#4b6342,24
#463041,24
#700d13,24
#faecfd,25
#d0f376,25
#d5c4b4,25
#c9a66b,25
#d8bfd8,25
#260101,26
#02370f,26
#fcf9ee,26
#7f87b5,26
#686868,26
#c8f7a2,27
#4ee379,27
#39a0ff,27
#ffefe0,27
#ffcc99,27
#9995db,28
#416fd3,28
#779900,28
#deebf7,28
#d32f2f,28
#b1632d,29
#faff20,29
#332d1f,29
#999797,29
#a6ea63,29
#f4d57a,30
#3a2e29,30
#e8e8e8,30
#6c7086,30
#4b717d,30
#f9e7c3,31
#ee3131,31
#661c00,31
#f15f2b,31
#38a594,31
#180047,32
#2d2d2d,32
#473c07,32
#78673d,32
#f3fbbb,32
#1f1a31,33
#b99e64,33
#660066,33
#fed9be,33
#ebd974,33
#557e2f,34
#6a7ba2,34
#f3b6aa,34
#d7f3f0,34
#c33428,34
#151b54,35
#4a4a4a,35
#9095bb,35
#f8f7f3,35
#4d3e32,35
#fed5bd,36
#2d2a26,36
#25235e,36
#d7a860,36
#f8f4e3,36
#bfff00,37
#b98150,37
#51748f,37
#ebc1ae,37
#b1a9c4,37
#660905,38
#b0c4a7,38
#2e373e,38
#d48db1,38
#a4cced,38
#15094b,39
#86bbec,39
#8a4d2b,39
#b1abb2,39
#f2e9d0,39
#b3cfd8,40
#b51632,40
#00c8d3,40
#827495,40
#ffe8be,40
#ffaf3d,41
#d0a167,41
#f498bc,41
#f8c5ec,41
#ea9497,41
#dfc05f,42
#64192d,42
#b49c94,42
#b60000,42
#222222,42
#0096c7,43
#148526,43
#1b2e51,43
#dfa180,43
#7d5150,43
#302222,44
#9942ff,44
#5d9eca,44
#632995,44
#b46e1f,44
#7ac943,45
#4a1f1c,45
#c4a476,45
#f1e6e2,45
#e6d194,45
#affdaf,46
#660000,46
#fbd4b1,46
#fce8d0,46
#7f56ba,46
#5a6175,47
#e85a4f,47
#9faf82,47
#222a30,47
#990027,47
#598dba,48
#ad3737,48
#eca9b0,48
#bd943c,48
#cbc6c1,48
#cf202f,49
#cdad97,49
#591ba6,49
#121216,49
#fc634e,49
#134192,50
#b7caa2,50
#223140,50
#094b72,50
#fff2cc,50
#d3e5d1,51
#fadadd,51
#fffff9,51
#dd22fd,51
#8f815e,51
#4b5320,52
#4c9f9e,52
#5d3a00,52
#f58fa3,52
#913768,52
#172969,53
#7fc19e,53
#6b0000,53
#d5511d,53
#f29610,53
#9de951,54
#a07c80,54
#fdd6c3,54
#b690e0,54
#2f377f,54
#d7d0d6,55
#6a000e,55
#856045,55
#5322d2,55
#53535a,55
#515151,56
#524094,56
#fff1d1,56
#d6d5e3,56
#4b0082,56
#b20017,57
#afafce,57
#d9751e,57
#fe5509,57
#beef00,57
#66ff33,58
#ff00a8,58
#fffec0,58
#5a6a75,58
#00aaff,58
#9e7e4f,59
#2e2e2e,59
#a9c89e,59
#aaa777,59
#005fe0,59
#295186,60
#d4e09b,60
#f2e7cd,60
#7a7262,60
#164a71,60
#0c0c0b,61
#d66e6e,61
#cfcdc8,61
#b6d6e4,61
#2f2b26,61
#c4dce4,62
#d10e55,62
#184b17,62
#36454f,62
#002b2c,62
#8b4000,63
#e4d00a,63
#aa9cb1,63
#dab4b4,63
#ffd7ba,63
#0018a8,64
#efddd5,64
#d45946,64
#6760fe,64
#4a5c6a,64
#ae461c,65
#e7d8b4,65
#b5e1b9,65
#25344f,65
#5d574e,65
#fff9e2,66
#d6cfc6,66
#c898cc,66
#efe1f7,66
#a8d8ea,66
#1ec0ed,67
#0f1219,67
#c6ff00,67
#d1cdd9,67
#d9e0e2,67
#fa9bcf,68
#6d7a4c,68
#303f50,68
#a1201a,68
#14161f,68
#660033,69
#a8c2b2,69
#fd7588,69
#b57121,69
#a1a1a1,69
#f5f5f5,70
#f7d4d4,70
#b66c6c,70
#a50c0c,70
#e75480,70
#98bfaf,71
#80b5dc,71
#f08819,71
#bc8880,71
#8c5c3c,71
#c5d3c0,72
#c1e363,72
#f7e501,72
#e0ecfa,72
#f5e8aa,72
#969ca8,73
#8e7cc3,73
#1e021b,73
#7f6f51,73
#98fbec,73
#fcb06c,74
#ffd8ed,74
#1c1c1c,74
#f8c67d,74
#853a3a,74
#e04369,75
#921315,75
#bed0b7,75
#fffcf0,75
#edeeed,75
#c2c8e0,76
#382227,76
#ffee02,76
#eff4ff,76
#d1eaf6,76
#e4dc88,77
#eb4604,77
#0e3d58,77
#465486,77
#003123,77
#6743a9,78
#575580,78
#d26a92,78
#b66ca3,78
#60586c,78
#9eb0af,79
#ffbbfa,79
#36711c,79
#f3f2ff,79
#594068,79
#cdc9b6,80
#078d6e,80
#c7969a,80
#370000,80
#906cf9,80
#972828,81
#dda3b2,81
#99ff99,81
#90b7b2,81
#2d523c,81
#d8e2dc,82
#c00d0d,82
#7179bf,82
#7f7f7f,82
#f7a51c,82
#162c49,83
#a8d8c5,83
#d3ffce,83
#320f13,83
#aacecd,83
#feeae9,84
#a54e4e,84
#dfe8f1,84
#f0acb1,84
#edbda4,84
#ffee6d,85
#d1616a,85
#d2515e,85
#d3d3d3,85
#472404,85
#ab435e,86
#65a3ff,86
#fc8eac,86
#404959,86
#733805,86
#00695c,87
#a89eb5,87
#cf847a,87
#64796c,87
#838da4,87
#7a9ab7,88
#cfede6,88
#96ccf4,88
#152441,88
#ffb400,88
#c27ba0,89
#f2c6b4,89
#e8b950,89
#c5ec6d,89
#a3cbf9,89
#bf7d2c,90
#0078c3,90
#9da78f,90
#f7ac35,90
#2e4338,90
#4a0000,91
#e8b4a3,91
#cc3333,91
#266a70,91
#6a2020,91
#e4dbc2,92
#c9fb55,92
#f8ebd1,92
#8a5a4b,92
#d2a10c,92
#e4848d,93
#915d45,93
#01015b,93
#49c513,93
#02382a,93
#c1f3ee,94
#74441c,94
#dac0c1,94
#855d19,94
#2f847c,94
#5f4839,95
#005d5b,95
#051e52,95
#5d7194,95
#a1af77,95
#ffff4f,96
#feff00,96
#0a0676,96
#f44336,96
#b86ddb,96
#c21e56,97
#5298a7,97
#c1d9e1,97
#fcb2a0,97
#80c4d9,97
#521c10,98
#02a4d3,98
#be4c5a,98
#b8724d,98
#f8ae0c,98
#f4bbb7,99
#a3a3a3,99
#eae2d9,99
#ff5f0d,99
#efecec,99
#39609a,100
#d8b78f,100
#d1dbe8,100
#0f0f0f,100
#f78383,100
#788fff,101
#e9d2e2,101
#7e848e,101
#fbc02d,101
#e68c0e,101
#7a9e7e,102
#26010b,102
#a4d280,102
#fffff0,102
#564d78,102
#f48e96,103
#f1cb5d,103
#88453a,103
#954053,103
#540707,103
#3d3d3d,104
#1c242c,104
#f3e5d2,104
#a79edf,104
#df2d1e,104
#bad012,105
#f8f0e3,105
#bb6600,105
#a1995f,105
#97a4af,105
#e6950e,106
#e5e3ce,106
#3a0ca3,106
#1e002f,106
#146a74,106
#23202e,107
#d6e3f4,107
#d8d5cc,107
#e8d5c4,107
#a46e5c,107
#9099a2,108
#ededed,108
#cc7f7f,108
#6cb6b6,108
#a06654,108
#f3f5ff,109
#02633c,109
#562a83,109
#f1ccb8,109
#a88403,109
#fe9ace,110
#e0c05f,110
#0b0000,110
#bd6112,110
#ccd6e1,110
#1a1ea3,111
#585b70,111
#00260a,111
#88724f,111
#fbf0e2,111
#203189,112
#fffeb3,112
#fce5cd,112
#f4b1c2,112
#f3ece7,112
#754861,113
#969c80,113
#372f9a,113
#f7de63,113
#da291c,113
#008087,114
#d49024,114
#b6ab8d,114
#3caea3,114
#1b1b1b,114
#fc5938,115
#f2aa89,115
#4ba3d9,115
#7da3ab,115
#c4c4c4,115
#e1b828,116
#ffd7d7,116
#a3cea1,116
#295472,116
#ff6b47,116
#e81cff,117
#1e6400,117
#ff8516,117
#adb2a3,117
#c2803d,117
#d6d4ca,118
#f7f4e2,118
#0f0f1a,118
#273234,118
#f9f2ec,118
#5b664b,119
#41432f,119
#94a3b8,119
#bfc2bf,119
#858b8b,119
#43140d,120
#af9c6f,120
#2f2e41,120
#e3c9c5,120
#e98f23,120
#43423d,121
#3f89ca,121
#21e4e9,121
#e5dcbb,121
#85cf64,121
#e82d16,122
#292929,122
#b3a0d0,122
#b9414b,122
#b54b5c,122
#9aff9a,123
#f7d2dc,123
#dcccb8,123
#cabc9f,123
#090058,123
#daca98,124
#ff644f,124
#fefefd,124
#f4f3d6,124
#ff8656,124
#a3e870,125
#c2acdc,125
#b7afa5,125
#822d4b,125
#f22222,125
#a2988c,126
#0046aa,126
#cc2121,126
#fe5a02,126
#0077b6,126
#e0b3c4,127
#909dab,127
#f2d4dc,127
#ffcc00,127
#756d64,127
#88dad3,128
#16537e,128
#86909a,128
#4a5242,128
#f6deb3,128
#9dd9eb,129
#714b79,129
#f3b6c5,129
#8c7a97,129
#9e7f62,129
#c7ce9d,130
#c63573,130
#9cb9c0,130
#9c7d5a,130
#8bae94,130
#cab6a6,131
#614112,131
#45475a,131
#2c3e50,131
#2e003e,131
#f4f1c9,132
#97c11d,132
#d45600,132
#d6527c,132
#a9edf1,132
#f5bee6,133
#94446e,133
#858e47,133
#990033,133
#c26021,133
#e7d4d4,134
#a56973,134
#7a6a5c,134
#c41e3a,134
#7d89ba,134
#9c8c7c,135
#f32f0e,135
#e4b47d,135
#b0e03b,135
#4c324a,135
#20e1ff,136
#dac9c9,136
#d4a942,136
#717d8e,136
#191919,136
#c09189,137
#c6dae3,137
#f7cbd9,137
#0cc36e,137
#66546d,137
#54473b,138
#ff63c1,138
#93fc68,138
#bac8d8,138
#d29765,138
#00cfff,139
#670f63,139
#5177a8,139
#8b7cff,139
#b4c89c,139
#4f3c52,140
#c0b7b4,140
#ff6b6b,140
#372d0c,140
#540c0c,140
#bca49b,141
#ddd6cc,141
#da6b06,141
#a9a1a6,141
#ecacac,141
#c40941,142
#3267aa,142
#00afef,142
#f0e4b8,142
#8497c8,142
#57522a,143
#e30613,143
#0e28b6,143
#f982cb,143
#a81a1a,143
#b06500,144
#7d8c95,144
#2082a6,144
#e2583e,144
#3c1414,144
#0e3e32,145
#18c0b5,145
#44afb1,145
#4a2d0e,145
#255e4c,145
#f8c3c7,146
#989ca1,146
#cb9dff,146
#ffaa00,146
#1d2d44,146
#0176cf,147
#f5d08d,147
#3c7aa4,147
#0a2a51,147
#555d50,147
#6b5a48,148
#96a8b8,148
#ffc85b,148
#2aab26,148
#615c50,148
#c03c3c,149
#654321,149
#5a8447,149
#5c1010,149
#99ad93,149
#4b687a,150
#88832d,150
#2b2a2a,150
#808088,150
#95bbe3,150
#debe8c,151
#fcf8e8,151
#80000a,151
#eae6cd,151
#313136,151
#e3eced,152
#dc6756,152
#97a286,152
#ed813d,152
#dfaca0,152
#e2d1ff,153
#62dadc,153
#c78a6c,153
#ce7e00,153
#f4e1a7,153
#d92a1a,154
#1eccc6,154
#d77358,154
#fff7be,154
#3d1512,154
#efe44d,155
#c44e2f,155
#faeec8,155
#662274,155
#75f8fd,155
#ffe10d,156
#1a1b20,156
#cfbfb9,156
#211e1e,156
#f43655,156
#f7f9fb,157
#ffeaca,157
#bcc18c,157
#d1e231,157
#d9d2e9,157
#082735,158
#c9a0dc,158
#790cec,158
#9a6a4b,158
#3c3f62,158
#ed2100,159
#507099,159
#f7f5f6,159
#ff9040,159
#9d3f16,159
#a9b020,160
#e5e1dc,160
#ec1b23,160
#5ca595,160
#fffeba,160
#ff06b5,161
#ffddee,161
#0057e1,161
#ff70cb,161
#de89a0,161
#9d6868,162
#fff080,162
#938f94,162
#7f6b99,162
#54b5da,162
#ffe5d9,163
#997a8d,163
#454256,163
#aeb1bc,163
#e0cd67,163
#0f4c47,164
#952323,164
#5e4423,164
#f04e32,164
#c6ddf0,164
#d0a54f,165
#403043,165
#5a6339,165
#45392c,165
#c1baec,165
#bddce9,166
#d9e3f0,166
#8b0000,166
#a4edd0,166
#910013,166
#ac856f,167
#e6bfc0,167
#e1cbc3,167
#d38e57,167
#6a0100,167
#d7d7d7,168
#7ab8a4,168
#2d2c40,168
#5a8e18,168
#0448a3,168
#463529,169
#d0d9b8,169
#2b3c55,169
#1b2a41,169
#951818,169
#e6e6e9,170
#a9e2d3,170
#613d10,170
#121214,170
#1f383b,170
#621d1d,171
#0f2d47,171
#867899,171
#e2e8f2,171
#fff4ff,171
#7b963f,172
#576420,172
#e4e5e8,172
#f3e8cf,172
#d77023,172
#c7b3a2,173
